"Data";"Rubrica";"valor"
1997-07-01;"I.1.2.5    IPI - Outros";1102,0085761
1997-07-01;"I.1.3    Imposto de Renda";2775,519364
1997-08-01;"I. RECEITA TOTAL";13393,3543504
1997-08-01;"I.1 -  Receita Administrada pela RFB";7696,924801
1997-08-01;"I.1.1    Imposto de ImportaÃ§Ã£o";445,560376
1997-08-01;"I.1.2    IPI";1414,282791
1997-08-01;"I.1.2.1    IPI - Fumo";239,13283902
1997-08-01;"I.1.2.2    IPI - Bebidas";0
1997-08-01;"I.1.2.3    IPI - AutomÃ³veis";0
1997-08-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1997-08-01;"I.1.2.5    IPI - Outros";1175,14995198
1997-08-01;"I.1.3    Imposto de Renda";2159,315715
1997-09-01;"I. RECEITA TOTAL";12771,90618068
1997-09-01;"I.1 -  Receita Administrada pela RFB";8172,11773
1997-09-01;"I.1.1    Imposto de ImportaÃ§Ã£o";456,300736
1997-09-01;"I.1.2    IPI";1496,796775
1997-09-01;"I.1.2.1    IPI - Fumo";254,93903694
1997-09-01;"I.1.2.2    IPI - Bebidas";0
1997-09-01;"I.1.2.3    IPI - AutomÃ³veis";0
1997-09-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1997-09-01;"I.1.2.5    IPI - Outros";1241,85773806
1997-09-01;"I.1.3    Imposto de Renda";2394,323832
1997-10-01;"I. RECEITA TOTAL";13497,08522959
1997-10-01;"I.1 -  Receita Administrada pela RFB";8948,685259
1997-10-01;"I.1.1    Imposto de ImportaÃ§Ã£o";488,582157
1997-10-01;"I.1.2    IPI";1398,178204
1997-10-01;"I.1.2.1    IPI - Fumo";206,50459299
1997-10-01;"I.1.2.2    IPI - Bebidas";0
1997-10-01;"I.1.2.3    IPI - AutomÃ³veis";0
1997-10-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1997-10-01;"I.1.2.5    IPI - Outros";1191,67361101
1997-10-01;"I.1.3    Imposto de Renda";2957,944298
1997-11-01;"I. RECEITA TOTAL";12991,68665449
1997-11-01;"I.1 -  Receita Administrada pela RFB";8542,904461
1997-11-01;"I.1.1    Imposto de ImportaÃ§Ã£o";491,1326
1997-11-01;"I.1.2    IPI";1506,52362
1997-11-01;"I.1.2.1    IPI - Fumo";249,40052285
1997-11-01;"I.1.2.2    IPI - Bebidas";0
1997-11-01;"I.1.2.3    IPI - AutomÃ³veis";0
1997-11-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1997-11-01;"I.1.2.5    IPI - Outros";1257,12309715
1997-11-01;"I.1.3    Imposto de Renda";2572,666378
1997-12-01;"I. RECEITA TOTAL";18434,10547719
1997-12-01;"I.1 -  Receita Administrada pela RFB";11091,329897
1997-12-01;"I.1.1    Imposto de ImportaÃ§Ã£o";497,024926
1997-12-01;"I.1.2    IPI";1445,887154
1997-12-01;"I.1.2.1    IPI - Fumo";252,60338658
1997-12-01;"I.1.2.2    IPI - Bebidas";0
1997-12-01;"I.1.2.3    IPI - AutomÃ³veis";0
1997-12-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1997-12-01;"I.1.2.5    IPI - Outros";1193,28376742
1997-12-01;"I.1.3    Imposto de Renda";4517,476138
1998-01-01;"I. RECEITA TOTAL";15390,44146687
1998-01-01;"I.1 -  Receita Administrada pela RFB";10906,728188
1998-01-01;"I.1.1    Imposto de ImportaÃ§Ã£o";510,744042
1998-01-01;"I.1.2    IPI";1194,96523
1998-01-01;"I.1.2.1    IPI - Fumo";241,5020207
1998-01-01;"I.1.2.2    IPI - Bebidas";0
1998-01-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-01-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-01-01;"I.1.2.5    IPI - Outros";953,4632093
1998-01-01;"I.1.3    Imposto de Renda";5012,635248
1998-02-01;"I. RECEITA TOTAL";13199,19134005
1998-02-01;"I.1 -  Receita Administrada pela RFB";9024,213333
1998-02-01;"I.1.1    Imposto de ImportaÃ§Ã£o";412,096695
1998-02-01;"I.1.2    IPI";1429,595381
1998-02-01;"I.1.2.1    IPI - Fumo";271,21373494
1998-02-01;"I.1.2.2    IPI - Bebidas";0
1998-02-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-02-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-02-01;"I.1.2.5    IPI - Outros";1158,38164606
1998-02-01;"I.1.3    Imposto de Renda";3459,795726
1998-03-01;"I. RECEITA TOTAL";17814,42420045
1998-03-01;"I.1 -  Receita Administrada pela RFB";10507,18035
1998-03-01;"I.1.1    Imposto de ImportaÃ§Ã£o";556,83886
1998-03-01;"I.1.2    IPI";1289,035921
1998-03-01;"I.1.2.1    IPI - Fumo";191,71630832
1998-03-01;"I.1.2.2    IPI - Bebidas";0
1998-03-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-03-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-03-01;"I.1.2.5    IPI - Outros";1097,31961268
1998-03-01;"I.1.3    Imposto de Renda";4680,959318
1998-04-01;"I. RECEITA TOTAL";15669,69998705
1998-04-01;"I.1 -  Receita Administrada pela RFB";9697,233401
1998-04-01;"I.1.1    Imposto de ImportaÃ§Ã£o";543,175753
1998-04-01;"I.1.2    IPI";1384,581842
1998-04-01;"I.1.2.1    IPI - Fumo";206,25575233
1998-04-01;"I.1.2.2    IPI - Bebidas";0
1998-04-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-04-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-04-01;"I.1.2.5    IPI - Outros";1178,32608967
1998-04-01;"I.1.3    Imposto de Renda";3798,654849
1998-05-01;"I. RECEITA TOTAL";13517,95185123
1998-05-01;"I.1 -  Receita Administrada pela RFB";8287,872182
1998-05-01;"I.1.1    Imposto de ImportaÃ§Ã£o";527,161302
1998-05-01;"I.1.2    IPI";1382,419712
1998-05-01;"I.1.2.1    IPI - Fumo";194,20041622
1998-05-01;"I.1.2.2    IPI - Bebidas";0
1998-05-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-05-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-05-01;"I.1.2.5    IPI - Outros";1188,21929578
1998-05-01;"I.1.3    Imposto de Renda";2777,997081
1998-06-01;"I. RECEITA TOTAL";12474,79400794
1998-06-01;"I.1 -  Receita Administrada pela RFB";7781,827508
1998-06-01;"I.1.1    Imposto de ImportaÃ§Ã£o";547,442524
1998-06-01;"I.1.2    IPI";1405,80668
1998-06-01;"I.1.2.1    IPI - Fumo";202,18905786
1998-06-01;"I.1.2.2    IPI - Bebidas";0
1998-06-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-06-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-06-01;"I.1.2.5    IPI - Outros";1203,61762214
1998-06-01;"I.1.3    Imposto de Renda";2228,969592
1998-07-01;"I. RECEITA TOTAL";13744,35290572
1998-07-01;"I.1 -  Receita Administrada pela RFB";9314,98294
1998-07-01;"I.1.1    Imposto de ImportaÃ§Ã£o";602,001143
1998-07-01;"I.1.2    IPI";1301,049958
1998-07-01;"I.1.2.1    IPI - Fumo";191,66142135
1998-07-01;"I.1.2.2    IPI - Bebidas";0
1998-07-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-07-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-07-01;"I.1.2.5    IPI - Outros";1109,38853665
1998-07-01;"I.1.3    Imposto de Renda";3571,63318
1998-08-01;"I. RECEITA TOTAL";20363,908730991
1998-08-01;"I.1 -  Receita Administrada pela RFB";9491,767099
1998-08-01;"I.1.1    Imposto de ImportaÃ§Ã£o";532,445591
1998-08-01;"I.1.2    IPI";1255,758163
1998-08-01;"I.1.2.1    IPI - Fumo";202,99178825
1998-08-01;"I.1.2.2    IPI - Bebidas";0
1998-08-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-08-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-08-01;"I.1.2.5    IPI - Outros";1052,76637475
1998-08-01;"I.1.3    Imposto de Renda";3343,077609
1998-09-01;"I. RECEITA TOTAL";13435,942530931
1998-09-01;"I.1 -  Receita Administrada pela RFB";9043,534797
1998-09-01;"I.1.1    Imposto de ImportaÃ§Ã£o";620,245408
1998-09-01;"I.1.2    IPI";1281,376839
1998-09-01;"I.1.2.1    IPI - Fumo";189,17177395
1998-09-01;"I.1.2.2    IPI - Bebidas";0
1998-09-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-09-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-09-01;"I.1.2.5    IPI - Outros";1092,20506505
1998-09-01;"I.1.3    Imposto de Renda";3407,332584
1998-10-01;"I. RECEITA TOTAL";13112,173313491
1998-10-01;"I.1 -  Receita Administrada pela RFB";8605,674777
1998-10-01;"I.1.1    Imposto de ImportaÃ§Ã£o";581,04622
1998-10-01;"I.1.2    IPI";1262,712525
1998-10-01;"I.1.2.1    IPI - Fumo";218,05608486
1998-10-01;"I.1.2.2    IPI - Bebidas";0
1998-10-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-10-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-10-01;"I.1.2.5    IPI - Outros";1044,65644014
1998-10-01;"I.1.3    Imposto de Renda";3035,804934
1998-11-01;"I. RECEITA TOTAL";14546,424079401
1998-11-01;"I.1 -  Receita Administrada pela RFB";8271,469806
1998-11-01;"I.1.1    Imposto de ImportaÃ§Ã£o";552,079069
1998-11-01;"I.1.2    IPI";1329,221507
1998-11-01;"I.1.2.1    IPI - Fumo";216,73742216
1998-11-01;"I.1.2.2    IPI - Bebidas";0
1998-11-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-11-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-11-01;"I.1.2.5    IPI - Outros";1112,48408484
1998-11-01;"I.1.3    Imposto de Renda";2915,192671
1998-12-01;"I. RECEITA TOTAL";20246,89980371
1998-12-01;"I.1 -  Receita Administrada pela RFB";10819,927982
1998-12-01;"I.1.1    Imposto de ImportaÃ§Ã£o";545,67627
1998-12-01;"I.1.2    IPI";1307,506908
1998-12-01;"I.1.2.1    IPI - Fumo";209,52541956
1998-12-01;"I.1.2.2    IPI - Bebidas";0
1998-12-01;"I.1.2.3    IPI - AutomÃ³veis";0
1998-12-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1998-12-01;"I.1.2.5    IPI - Outros";1097,98148844
1998-12-01;"I.1.3    Imposto de Renda";4679,404369
1999-01-01;"I. RECEITA TOTAL";14994,90320182
1999-01-01;"I.1 -  Receita Administrada pela RFB";9686,234763
1999-01-01;"I.1.1    Imposto de ImportaÃ§Ã£o";459,696562
1999-01-01;"I.1.2    IPI";1217,294263
1999-01-01;"I.1.2.1    IPI - Fumo";212,65504172
1999-01-01;"I.1.2.2    IPI - Bebidas";0
1999-01-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-01-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-01-01;"I.1.2.5    IPI - Outros";1004,63922128
1999-01-01;"I.1.3    Imposto de Renda";4153,54937
1999-02-01;"I. RECEITA TOTAL";16084,53020355
1999-02-01;"I.1 -  Receita Administrada pela RFB";11581,960397
1999-02-01;"I.1.1    Imposto de ImportaÃ§Ã£o";524,97507
1999-02-01;"I.1.2    IPI";1289,290107
1999-02-01;"I.1.2.1    IPI - Fumo";219,19731524
1999-02-01;"I.1.2.2    IPI - Bebidas";0
1999-02-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-02-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-02-01;"I.1.2.5    IPI - Outros";1070,09279176
1999-02-01;"I.1.3    Imposto de Renda";4753,756122
1999-03-01;"I. RECEITA TOTAL";19747,915912177
1999-03-01;"I.1 -  Receita Administrada pela RFB";11670,065576
1999-03-01;"I.1.1    Imposto de ImportaÃ§Ã£o";684,202283
1999-03-01;"I.1.2    IPI";1275,184101
1999-03-01;"I.1.2.1    IPI - Fumo";194,99398285
1999-03-01;"I.1.2.2    IPI - Bebidas";0
1999-03-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-03-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-03-01;"I.1.2.5    IPI - Outros";1080,19011815
1999-03-01;"I.1.3    Imposto de Renda";5274,598491
1999-04-01;"I. RECEITA TOTAL";16224,47815133
1999-04-01;"I.1 -  Receita Administrada pela RFB";10843,193815
1999-04-01;"I.1.1    Imposto de ImportaÃ§Ã£o";596,1893
1999-04-01;"I.1.2    IPI";1248,185457
1999-04-01;"I.1.2.1    IPI - Fumo";221,03801653
1999-04-01;"I.1.2.2    IPI - Bebidas";0
1999-04-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-04-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-04-01;"I.1.2.5    IPI - Outros";1027,14744047
1999-04-01;"I.1.3    Imposto de Renda";4478,765013
1999-05-01;"I. RECEITA TOTAL";14513,20076166
1999-05-01;"I.1 -  Receita Administrada pela RFB";9262,803807
1999-05-01;"I.1.1    Imposto de ImportaÃ§Ã£o";588,304489
1999-05-01;"I.1.2    IPI";1223,19621
1999-05-01;"I.1.2.1    IPI - Fumo";205,78038279
1999-05-01;"I.1.2.2    IPI - Bebidas";0
1999-05-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-05-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-05-01;"I.1.2.5    IPI - Outros";1017,41582721
1999-05-01;"I.1.3    Imposto de Renda";3454,477768
1999-06-01;"I. RECEITA TOTAL";17662,84809217
1999-06-01;"I.1 -  Receita Administrada pela RFB";9868,6089454
1999-06-01;"I.1.1    Imposto de ImportaÃ§Ã£o";687,77203614
1999-06-01;"I.1.2    IPI";1242,5535741
1999-06-01;"I.1.2.1    IPI - Fumo";192,19097841
1999-06-01;"I.1.2.2    IPI - Bebidas";0
1999-06-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-06-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-06-01;"I.1.2.5    IPI - Outros";1050,36259569
1999-06-01;"I.1.3    Imposto de Renda";3053,02224808
1999-07-01;"I. RECEITA TOTAL";17926,31790522
1999-07-01;"I.1 -  Receita Administrada pela RFB";12249,197413
1999-07-01;"I.1.1    Imposto de ImportaÃ§Ã£o";648,832423
1999-07-01;"I.1.2    IPI";1246,825685
1999-07-01;"I.1.2.1    IPI - Fumo";161,50229385
1999-07-01;"I.1.2.2    IPI - Bebidas";0
1999-07-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-07-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-07-01;"I.1.2.5    IPI - Outros";1085,32339115
1999-07-01;"I.1.3    Imposto de Renda";3314,447465
1999-08-01;"I. RECEITA TOTAL";17648,3761223471
1999-08-01;"I.1 -  Receita Administrada pela RFB";9509,387117
1999-08-01;"I.1.1    Imposto de ImportaÃ§Ã£o";745,047143
1999-08-01;"I.1.2    IPI";1309,268577
1999-08-01;"I.1.2.1    IPI - Fumo";174,07194131
1999-08-01;"I.1.2.2    IPI - Bebidas";0
1999-08-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-08-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-08-01;"I.1.2.5    IPI - Outros";1135,19663569
1999-08-01;"I.1.3    Imposto de Renda";2611,162219
1999-09-01;"I. RECEITA TOTAL";18096,124095917
1999-09-01;"I.1 -  Receita Administrada pela RFB";12560,933045
1999-09-01;"I.1.1    Imposto de ImportaÃ§Ã£o";689,660951
1999-09-01;"I.1.2    IPI";1310,212803
1999-09-01;"I.1.2.1    IPI - Fumo";172,03660927
1999-09-01;"I.1.2.2    IPI - Bebidas";0
1999-09-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-09-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-09-01;"I.1.2.5    IPI - Outros";1138,17619373
1999-09-01;"I.1.3    Imposto de Renda";4512,769127
1999-10-01;"I. RECEITA TOTAL";16474,54879337
1999-10-01;"I.1 -  Receita Administrada pela RFB";11415,367874
1999-10-01;"I.1.1    Imposto de ImportaÃ§Ã£o";750,459189
1999-10-01;"I.1.2    IPI";1527,963984
1999-10-01;"I.1.2.1    IPI - Fumo";170,5925855
1999-10-01;"I.1.2.2    IPI - Bebidas";0
1999-10-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-10-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-10-01;"I.1.2.5    IPI - Outros";1357,3713985
1999-10-01;"I.1.3    Imposto de Renda";3413,75549
1999-11-01;"I. RECEITA TOTAL";17142,227499689
1999-11-01;"I.1 -  Receita Administrada pela RFB";11963,381759
1999-11-01;"I.1.1    Imposto de ImportaÃ§Ã£o";785,937872
1999-11-01;"I.1.2    IPI";1551,467849
1999-11-01;"I.1.2.1    IPI - Fumo";179,96522145
1999-11-01;"I.1.2.2    IPI - Bebidas";0
1999-11-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-11-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-11-01;"I.1.2.5    IPI - Outros";1371,50262755
1999-11-01;"I.1.3    Imposto de Renda";3179,406129
1999-12-01;"I. RECEITA TOTAL";22868,06003188
1999-12-01;"I.1 -  Receita Administrada pela RFB";13704,107772
1999-12-01;"I.1.1    Imposto de ImportaÃ§Ã£o";699,971486
1999-12-01;"I.1.2    IPI";1643,245436
1999-12-01;"I.1.2.1    IPI - Fumo";176,39403991
1999-12-01;"I.1.2.2    IPI - Bebidas";0
1999-12-01;"I.1.2.3    IPI - AutomÃ³veis";0
1999-12-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";0
1999-12-01;"I.1.2.5    IPI - Outros";1466,85139609
1999-12-01;"I.1.3    Imposto de Renda";5290,842287
2000-01-01;"I. RECEITA TOTAL";18304,835493427
2000-01-01;"I.1 -  Receita Administrada pela RFB";12893,567623
2000-01-01;"I.1.1    Imposto de ImportaÃ§Ã£o";564,019636
2000-01-01;"I.1.2    IPI";1102,122054
2000-01-01;"I.1.2.1    IPI - Fumo";177,319963
2000-01-01;"I.1.2.2    IPI - Bebidas";175,076466
2000-01-01;"I.1.2.3    IPI - AutomÃ³veis";94,320713
2000-01-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";311,733522
2000-01-01;"I.1.2.5    IPI - Outros";343,67139
2000-01-01;"I.1.3    Imposto de Renda";4710,901801
2000-02-01;"I. RECEITA TOTAL";17018,0819086039
2000-02-01;"I.1 -  Receita Administrada pela RFB";11871,598402
2000-02-01;"I.1.1    Imposto de ImportaÃ§Ã£o";572,380525
2000-02-01;"I.1.2    IPI";1381,131852
2000-02-01;"I.1.2.1    IPI - Fumo";164,524208
2000-02-01;"I.1.2.2    IPI - Bebidas";136,383967
2000-02-01;"I.1.2.3    IPI - AutomÃ³veis";197,449194
2000-02-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";321,859537
2000-02-01;"I.1.2.5    IPI - Outros";560,914946
2000-02-01;"I.1.3    Imposto de Renda";4073,534659
2000-03-01;"I. RECEITA TOTAL";20072,893763165
2000-03-01;"I.1 -  Receita Administrada pela RFB";14312,878128
2000-03-01;"I.1.1    Imposto de ImportaÃ§Ã£o";621,069523
2000-03-01;"I.1.2    IPI";1202,023133
2000-03-01;"I.1.2.1    IPI - Fumo";167,154385
2000-03-01;"I.1.2.2    IPI - Bebidas";128,618652
2000-03-01;"I.1.2.3    IPI - AutomÃ³veis";144,084241
2000-03-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";365,080272
2000-03-01;"I.1.2.5    IPI - Outros";397,085583
2000-03-01;"I.1.3    Imposto de Renda";5548,090157
2000-04-01;"I. RECEITA TOTAL";18995,277422562
2000-04-01;"I.1 -  Receita Administrada pela RFB";12697,542234
2000-04-01;"I.1.1    Imposto de ImportaÃ§Ã£o";571,488164
2000-04-01;"I.1.2    IPI";1531,146919
2000-04-01;"I.1.2.1    IPI - Fumo";181,908923
2000-04-01;"I.1.2.2    IPI - Bebidas";154,490978
2000-04-01;"I.1.2.3    IPI - AutomÃ³veis";220,70472
2000-04-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";324,728693
2000-04-01;"I.1.2.5    IPI - Outros";649,313605
2000-04-01;"I.1.3    Imposto de Renda";4596,312817
2000-05-01;"I. RECEITA TOTAL";19185,126200911
2000-05-01;"I.1 -  Receita Administrada pela RFB";12235,118792
2000-05-01;"I.1.1    Imposto de ImportaÃ§Ã£o";704,640906
2000-05-01;"I.1.2    IPI";1365,476199
2000-05-01;"I.1.2.1    IPI - Fumo";151,140462
2000-05-01;"I.1.2.2    IPI - Bebidas";154,488569
2000-05-01;"I.1.2.3    IPI - AutomÃ³veis";175,629237
2000-05-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";401,806369
2000-05-01;"I.1.2.5    IPI - Outros";482,411562
2000-05-01;"I.1.3    Imposto de Renda";4031,260825
2000-06-01;"I. RECEITA TOTAL";18199,040499519
2000-06-01;"I.1 -  Receita Administrada pela RFB";11978,422576
2000-06-01;"I.1.1    Imposto de ImportaÃ§Ã£o";694,717918
2000-06-01;"I.1.2    IPI";1466,621048
2000-06-01;"I.1.2.1    IPI - Fumo";166,353697
2000-06-01;"I.1.2.2    IPI - Bebidas";152,890807
2000-06-01;"I.1.2.3    IPI - AutomÃ³veis";167,899989
2000-06-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";407,534895
2000-06-01;"I.1.2.5    IPI - Outros";571,94166
2000-06-01;"I.1.3    Imposto de Renda";3428,525182
2000-07-01;"I. RECEITA TOTAL";18559,047884637
2000-07-01;"I.1 -  Receita Administrada pela RFB";12138,306955
2000-07-01;"I.1.1    Imposto de ImportaÃ§Ã£o";691,918046
2000-07-01;"I.1.2    IPI";1429,673109
2000-07-01;"I.1.2.1    IPI - Fumo";155,91515
2000-07-01;"I.1.2.2    IPI - Bebidas";147,602263
2000-07-01;"I.1.2.3    IPI - AutomÃ³veis";177,473053
2000-07-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";400,864227
2000-07-01;"I.1.2.5    IPI - Outros";547,818416
2000-07-01;"I.1.3    Imposto de Renda";3793,146526
2000-08-01;"I. RECEITA TOTAL";20688,920243377
2000-08-01;"I.1 -  Receita Administrada pela RFB";11867,723466
2000-08-01;"I.1.1    Imposto de ImportaÃ§Ã£o";813,652471
2000-08-01;"I.1.2    IPI";1491,247904
2000-08-01;"I.1.2.1    IPI - Fumo";153,022421
2000-08-01;"I.1.2.2    IPI - Bebidas";145,421199
2000-08-01;"I.1.2.3    IPI - AutomÃ³veis";221,901275
2000-08-01;"I.1.2.4    IPI - Vinculado a importaÃ§Ã£o";464,981718
2000-08-01;"I.1.2.5    IPI - Outros";505,921291
2000-08-01;"I.1.3    Imposto de Renda";3071,603683
2000-09-01;"I. RECEITA TOTAL";18747,605225179
2000-09-01;"I.1 -  Receita Administrada pela RFB";12766,475959
2000-09-01;"I.1.1    Imposto de ImportaÃ§Ã£o";777,174946
